"p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
22.767,-11.233,-0.041786,0,7.5273,0,0,1,0,0.008,0,0
14.118,-8.5909,1.6738e-05,0,0,0,0,1,0.01942,0.02742,0,0
16.87,-9.6001,6.986e-05,0,0,0,0,1,0.03884,0.04684,0,0
14.797,-9.6321,-2.2357e-05,0,0,0,0,1,0.05826,0.06626,0,0
13.452,-9.4274,-3.6153e-05,0,0,0,0,1,0.07768,0.08568,0,0
12.439,-9.201,-3.5363e-05,0,0,0,0,1,0.0971,0.1051,0,0
11.645,-8.9912,-3.1923e-05,0,0,0,0,1,0.11652,0.12452,0,0
11.003,-8.8041,-2.831e-05,0,0,0,0,1,0.13594,0.14394,0,0
10.461,-8.6383,-2.5094e-05,0,0,0,0,1,0.15536,0.16336,0,0
9.9954,-8.4912,-2.2363e-05,0,0,0,0,1,0.17478,0.18278,0,0
9.5863,-8.3599,-2.0071e-05,0,0,0,0,1,0.1942,0.2022,0,0
9.2204,-8.2416,-1.8133e-05,0,0,0,0,1,0.21362,0.22162,0,0
8.889,-8.1344,-1.6488e-05,0,0,0,0,1,0.23304,0.24104,0,0
8.5859,-8.0365,-1.5081e-05,0,0,0,0,1,0.25246,0.26046,0,0
8.3063,-7.9466,-1.3868e-05,0,0,0,0,1,0.27188,0.27988,0,0
8.0466,-7.8638,-1.2814e-05,0,0,0,0,1,0.2913,0.2993,0,0
7.8043,-7.7872,-1.1898e-05,0,0,0,0,1,0.31072,0.31872,0,0
7.5769,-7.716,-1.1093e-05,0,0,0,0,1,0.33014,0.33814,0,0
7.3622,-7.6494,-1.0377e-05,0,0,0,0,1,0.34956,0.35756,0,0
7.1586,-7.587,-9.7385e-06,0,0,0,0,1,0.36898,0.37698,0,0
6.965,-7.5283,-9.1685e-06,0,0,0,0,1,0.3884,0.3964,0,0
6.7806,-7.473,-8.6556e-06,0,0,0,0,1,0.40782,0.41582,0,0
6.6043,-7.4207,-8.1933e-06,0,0,0,0,1,0.42724,0.43524,0,0
6.4353,-7.3712,-7.7711e-06,0,0,0,0,1,0.44666,0.45466,0,0
6.2727,-7.3242,-7.3893e-06,0,0,0,0,1,0.46608,0.47408,0,0
